iter	MultiClass	Accuracy
0	1.091775791	0.7723880597
1	1.085125868	0.776119403
2	1.075656567	0.776119403
3	1.069822488	0.828358209
4	1.06431668	0.7985074627
5	1.057914902	0.8059701493
6	1.05010978	0.7947761194
7	1.042173867	0.8358208955
8	1.035256315	0.8097014925
9	1.028493214	0.7873134328
10	1.022061937	0.7835820896
11	1.014985891	0.7873134328
12	1.007807414	0.7873134328
13	0.9999246949	0.7873134328
14	0.9931667713	0.7910447761
15	0.9843503641	0.7910447761
16	0.9784290601	0.7910447761
17	0.9716801989	0.7873134328
18	0.9632051072	0.7947761194
19	0.9569664755	0.7910447761
20	0.9494240581	0.802238806
21	0.9428680148	0.8171641791
22	0.9361811677	0.8171641791
23	0.9295381954	0.8059701493
24	0.9226211778	0.8432835821
25	0.9157464437	0.8395522388
26	0.9102583375	0.828358209
27	0.9039809691	0.8544776119
28	0.896553828	0.8619402985
29	0.8913693495	0.8619402985
30	0.8860483362	0.8619402985
31	0.8809513198	0.8619402985
32	0.8764873441	0.8582089552
33	0.8721696001	0.8507462687
34	0.8676783318	0.8395522388
35	0.8633027029	0.828358209
36	0.8589734111	0.7873134328
37	0.8540125461	0.8171641791
38	0.8500034841	0.7835820896
39	0.8448376211	0.8097014925
40	0.8406006159	0.7835820896
41	0.8369455486	0.7798507463
42	0.8331714138	0.7723880597
43	0.8292702457	0.7723880597
44	0.824793743	0.7723880597
45	0.8194034318	0.7835820896
46	0.8145949183	0.7835820896
47	0.8110730906	0.7798507463
48	0.8059056423	0.7798507463
49	0.8022686136	0.7798507463
50	0.7976795626	0.7873134328
51	0.7933734892	0.7798507463
52	0.7880872107	0.802238806
53	0.7842660097	0.7798507463
54	0.7813243208	0.776119403
55	0.7777423825	0.7723880597
56	0.7731155915	0.7835820896
57	0.7700321488	0.776119403
58	0.7660454181	0.7798507463
59	0.7620817732	0.7873134328
60	0.7584351167	0.7835820896
61	0.7553318588	0.7835820896
62	0.7516734007	0.7873134328
63	0.748167923	0.7985074627
64	0.744299758	0.7985074627
65	0.7390888012	0.8134328358
66	0.7363603047	0.8097014925
67	0.733632319	0.7947761194
68	0.7305195215	0.7947761194
69	0.7278989941	0.7910447761
70	0.7252260362	0.7873134328
71	0.7218908956	0.7910447761
72	0.7189352936	0.7947761194
73	0.7164679222	0.7910447761
74	0.7136095548	0.7910447761
75	0.7103066915	0.7947761194
76	0.7065791855	0.7873134328
77	0.7043913069	0.7835820896
78	0.6999171388	0.802238806
79	0.6978143318	0.7798507463
80	0.6939878387	0.8059701493
81	0.6899268178	0.8134328358
82	0.6866302898	0.8134328358
83	0.6841372127	0.8134328358
84	0.6819674582	0.8097014925
85	0.6798764975	0.8059701493
86	0.6778841021	0.7910447761
87	0.6765883724	0.776119403
88	0.674103694	0.7798507463
89	0.6714438633	0.776119403
90	0.6681867534	0.7947761194
91	0.66580814	0.7873134328
92	0.6628840653	0.7873134328
93	0.6609053576	0.7947761194
94	0.659002809	0.7798507463
95	0.656695793	0.7835820896
96	0.6531781412	0.7873134328
97	0.6494948259	0.8097014925
98	0.6475098775	0.7985074627
99	0.6446763126	0.8097014925
100	0.6417711788	0.8097014925
101	0.6390410267	0.8246268657
102	0.6366625543	0.8208955224
103	0.6340833084	0.8246268657
104	0.6313891523	0.8246268657
105	0.6297745907	0.8246268657
106	0.6277074274	0.8246268657
107	0.6251467606	0.8246268657
108	0.6224158309	0.8246268657
109	0.6207058055	0.8246268657
110	0.6182517122	0.8320895522
111	0.6163788288	0.8320895522
112	0.6142221296	0.8320895522
113	0.6121894229	0.828358209
114	0.61075257	0.8246268657
115	0.6092825879	0.8246268657
116	0.6068164256	0.8246268657
117	0.6046193089	0.8320895522
118	0.6015497624	0.8320895522
119	0.5994309486	0.8395522388
120	0.5964415546	0.8395522388
121	0.5936082558	0.8470149254
122	0.5915415873	0.8544776119
123	0.5902695079	0.8544776119
124	0.5880445835	0.8507462687
125	0.5857621775	0.8507462687
126	0.5845284402	0.8507462687
127	0.5832534317	0.8507462687
128	0.5806677199	0.8544776119
129	0.5794006015	0.8544776119
130	0.5771140165	0.8544776119
131	0.5751427021	0.8507462687
132	0.5728831051	0.8582089552
133	0.5708991615	0.8619402985
134	0.5695492362	0.8544776119
135	0.5680740099	0.8619402985
136	0.5662790245	0.8619402985
137	0.5651443749	0.8619402985
138	0.5634055296	0.8619402985
139	0.5609695546	0.8656716418
140	0.5585991287	0.8656716418
141	0.5563306307	0.8656716418
142	0.554314403	0.8656716418
143	0.5533110516	0.8656716418
144	0.5507866372	0.8656716418
145	0.5483837792	0.8656716418
146	0.5469708825	0.8656716418
147	0.5452198914	0.8656716418
148	0.5426851283	0.8694029851
149	0.540780905	0.8694029851
150	0.538887431	0.8694029851
151	0.537708595	0.8731343284
152	0.5359007106	0.8768656716
153	0.5347989236	0.8768656716
154	0.5331716815	0.8768656716
155	0.5314344067	0.8768656716
156	0.5299669642	0.8768656716
157	0.528347845	0.8768656716
158	0.526843452	0.8768656716
159	0.5248476765	0.8768656716
160	0.5238156442	0.8768656716
161	0.5219549571	0.8768656716
162	0.5199404063	0.8768656716
163	0.5183055021	0.8768656716
164	0.5172099138	0.8768656716
165	0.5153111547	0.8805970149
166	0.5138547897	0.8805970149
167	0.5126256032	0.8805970149
168	0.5110814163	0.8805970149
169	0.5086624898	0.8805970149
170	0.5069779678	0.8805970149
171	0.5059211318	0.8805970149
172	0.5039969568	0.8805970149
173	0.5031471794	0.8805970149
174	0.5011392531	0.8805970149
175	0.4987439574	0.8805970149
176	0.4969265544	0.8843283582
177	0.4955714771	0.8805970149
178	0.4933119012	0.8917910448
179	0.49218838	0.8880597015
180	0.4909812747	0.8880597015
181	0.4898707392	0.8880597015
182	0.4883949938	0.8843283582
183	0.4869107932	0.8843283582
184	0.4847673299	0.8955223881
185	0.4836770902	0.8955223881
186	0.4817162228	0.8955223881
187	0.4806625175	0.8955223881
188	0.479222609	0.8955223881
189	0.4781212414	0.8955223881
190	0.4772132329	0.8955223881
191	0.4752458771	0.8955223881
192	0.473964035	0.8992537313
193	0.4724119503	0.8992537313
194	0.4708062198	0.8992537313
195	0.4690700372	0.8992537313
196	0.4675924421	0.8992537313
197	0.4658544413	0.8992537313
198	0.4645734668	0.9029850746
199	0.4641238691	0.8992537313
