iter	Passed	Remaining
0	19	3908
1	42	4252
2	62	4097
3	86	4259
4	169	6618
5	198	6428
6	232	6415
7	261	6286
8	276	5874
9	307	5844
10	335	5768
11	364	5702
12	395	5685
13	424	5637
14	452	5578
15	487	5607
16	506	5448
17	543	5492
18	574	5468
19	615	5542
20	649	5539
21	676	5473
22	708	5451
23	723	5302
24	756	5295
25	789	5286
26	814	5218
27	858	5276
28	880	5190
29	912	5169
30	951	5189
31	985	5175
32	1013	5130
33	1041	5086
34	1051	4958
35	1074	4894
36	1084	4777
37	1116	4759
38	1130	4666
39	1161	4644
40	1174	4554
41	1196	4502
42	1224	4472
43	1252	4441
44	1275	4392
45	1302	4360
46	1331	4333
47	1342	4250
48	1373	4232
49	1428	4284
50	1455	4252
51	1478	4209
52	1507	4182
53	1570	4246
54	1594	4202
55	1622	4173
56	1655	4153
57	1684	4124
58	1703	4070
59	1750	4084
60	1794	4088
61	1825	4063
62	1870	4067
63	1899	4035
64	1918	3984
65	1957	3974
66	1966	3904
67	1976	3836
68	2004	3806
69	2031	3772
70	2054	3733
71	2095	3725
72	2118	3685
73	2124	3618
74	2154	3590
75	2170	3541
76	2188	3495
77	2199	3440
78	2216	3395
79	2222	3333
80	2239	3289
81	2257	3248
82	2274	3205
83	2291	3164
84	2297	3108
85	2303	3052
86	2313	3004
87	2318	2950
88	2335	2912
89	2352	2874
90	2369	2837
91	2386	2801
92	2403	2765
93	2419	2728
94	2426	2681
95	2442	2646
96	2456	2608
97	2473	2574
98	2489	2540
99	2506	2506
100	2517	2467
101	2534	2435
102	2551	2403
103	2571	2373
104	2591	2344
105	2600	2305
106	2618	2276
107	2646	2254
108	2663	2223
109	2684	2196
110	2702	2167
111	2721	2138
112	2740	2109
113	2766	2087
114	2782	2056
115	2803	2029
116	2831	2008
117	2860	1987
118	2904	1976
119	2941	1960
120	2981	1946
121	3018	1929
122	3068	1921
123	3113	1908
124	3165	1899
125	3204	1882
126	3243	1864
127	3285	1848
128	3328	1832
129	3356	1807
130	3384	1782
131	3406	1754
132	3434	1729
133	3460	1704
134	3483	1677
135	3510	1651
136	3536	1626
137	3546	1593
138	3570	1567
139	3597	1541
140	3625	1517
141	3663	1496
142	3693	1472
143	3720	1446
144	3755	1424
145	3785	1400
146	3816	1375
147	3849	1352
148	3885	1329
149	3918	1306
150	3954	1283
151	3982	1257
152	4019	1234
153	4046	1208
154	4073	1182
155	4100	1156
156	4127	1130
157	4153	1104
158	4188	1079
159	4226	1056
160	4252	1030
161	4291	1006
162	4321	981
163	4353	955
164	4387	930
165	4417	904
166	4441	877
167	4477	852
168	4495	824
169	4523	798
170	4545	770
171	4579	745
172	4607	719
173	4637	692
174	4679	668
175	4707	641
176	4736	615
177	4766	589
178	4794	562
179	4827	536
180	4856	509
181	4883	482
182	4910	456
183	4939	429
184	4965	402
185	4992	375
186	5020	348
187	5046	322
188	5075	295
189	5102	268
190	5129	241
191	5161	215
192	5188	188
193	5216	161
194	5243	134
195	5271	107
196	5303	80
197	5329	53
198	5356	26
199	5371	0
