RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0,0,1
1.51841,12.93,3.74,1.11,72.28,0.64,8.96,0,0.22,2
1.51934,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24,3
1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0,0.37,3
1.51514,14.01,2.68,3.5,69.89,1.68,5.87,2.2,0,5
1.51852,14.09,2.19,1.66,72.67,0,9.32,0,0,6
1.51299,14.4,1.74,1.54,74.55,0,7.59,0,0,6
1.51888,14.99,0.78,1.74,72.5,0,9.95,0,0,6
1.51916,14.15,0,2.09,72.74,0,10.88,0,0,6
1.51651,14.38,0,1.94,73.61,0,8.48,1.57,0,7
1.51711,14.23,0,2.08,73.36,0,8.62,1.67,0,7


1 2 3 3 5 6 6 6 6 7 7 
