Date,Numeros,Etoiles,SUPER-STAR
09.04.2021,2-8-32-35-44,08.11.2022,K-6-4-2-Y
06.04.2021,2-21-37-38-50,07.08.2022,T-5-1-8-C
02.04.2021,4-21-34-40-47,02.05.2022,K-1-4-0-C
30.03.2021,24-27-28-29-42,04.08.2022,N-9-1-3-F
26.03.2021,10-12-37-49-50,03.08.2022,I-6-6-4-V
23.03.2021,2-26-29-36-49,03.09.2022,V-4-9-0-H
19.03.2021,3-9-35-43-44,01.10.2022,S-8-8-0-V
16.03.2021,23-25-32-35-47,02.06.2022,M-0-1-5-Y
12.03.2021,4-6-9-11-44,10.11.2022,I-3-1-0-I
09.03.2021,1-16-21-32-33,11.12.2022,P-4-0-8-K
05.03.2021,4-5-39-46-48,07.10.2022,M-0-8-7-K
02.03.2021,2-19-24-26-49,06.07.2022,F-8-5-2-J
26.02.2021,6-12-22-29-33,06.11.2022,V-7-4-9-M
23.02.2021,9-18-30-39-45,01.03.2022,R-9-0-8-E
19.02.2021,4-12-25-46-48,07.12.2022,W-3-3-0-A
16.02.2021,5-9-25-29-30,06.07.2022,L-9-7-9-K
12.02.2021,7-23-30-32-36,08.12.2022,D-6-3-6-X
09.02.2021,5-10-24-31-37,09.10.2022,L-6-5-8-O
05.02.2021,12-19-37-44-45,02.06.2022,W-1-8-6-E
02.02.2021,18-20-35-38-48,09.12.2022,R-3-9-9-K
29.01.2021,1-5-27-36-42,01.06.2022,C-1-1-9-J
26.01.2021,5-7-25-37-40,02.08.2022,O-8-9-3-U
22.01.2021,8-16-42-44-47,06.07.2022,X-5-4-6-Z
19.01.2021,25-27-31-35-43,05.06.2022,V-7-1-6-G
15.01.2021,4-10-27-38-40,03.11.2022,H-2-7-6-Y
12.01.2021,2-10-18-34-35,06.09.2022,J-0-1-6-E
08.01.2021,18-23-37-41-42,04.06.2022,R-0-5-6-R
05.01.2021,12-34-37-38-42,01.03.2022,R-6-0-9-Q
01.01.2021,16-28-32-44-48,01.09.2022,R-9-4-3-X
29.12.2020,7-32-39-40-45,03.08.2022,P-6-7-3-U
25.12.2020,16-21-27-30-32,03.05.2022,D-3-8-3-Q
22.12.2020,2-10-16-42-50,04.11.2022,P-9-1-4-C
18.12.2020,2-3-13-17-21,07.08.2022,A-4-3-4-Q
15.12.2020,9-13-21-29-35,01.02.2022,H-0-0-8-K
11.12.2020,6-9-13-24-41,03.12.2022,D-1-7-3-Z
08.12.2020,1-4-21-24-46,02.12.2022,S-2-5-1-R
04.12.2020,14-20-27-34-38,01.11.2022,F-7-9-7-J
01.12.2020,14-20-29-47-49,04.12.2022,G-5-2-7-S
27.11.2020,2-5-8-14-16,08.09.2022,E-6-6-0-E
24.11.2020,25-33-38-42-50,08.12.2022,B-2-4-3-T
20.11.2020,28-29-39-48-50,05.07.2022,K-3-9-6-J
17.11.2020,16-19-25-30-44,02.06.2022,Z-3-6-6-X
13.11.2020,1-5-17-28-31,01.10.2022,N-4-5-5-M
10.11.2020,3-19-29-32-38,05.12.2022,W-8-2-8-F
06.11.2020,7-12-37-40-50,01.02.2022,F-3-9-6-O
